shotnum,Delta
50010001,7.84289
50010002,7.804038
50010003,9.188334
50010004,7.713225
50010005,7.663852
50010006,8.437633
50010007,8.95912
50010008,7.225706
50010009,7.365801
50010010,7.643517
50010011,7.501226
50010012,7.492383
50010013,6.826251
50010014,8.553177
50010015,7.555415
50010016,8.086403
50010017,8.421871
50010018,9.064299
50010019,8.965337
50010020,7.954285
50020001,7.012743
50020002,5.388767
50020003,5.579556
50020004,6.142403
50020005,6.313746
50020006,5.638619
50020007,6.511641
50020008,6.878992
50020009,2.782746
50020010,6.434941
50020011,5.334178
50020012,5.231682
50020013,8.109602
50020014,4.98555
50020015,6.068145
50020016,5.170029
50020017,5.804658
50020018,4.221448
50020019,5.502873
50020020,6.717015
50030001,5.336258
50030002,6.032201
50030003,5.930901
50030004,5.375282
50030005,5.319115
50030006,5.869695
50030007,6.539672
50030008,5.595672
50030009,5.47709
50030010,5.294678
