shotnum,Delta
50010001,7.84289
50010002,7.804038
50010003,9.188334
50010004,7.713225
50010005,7.663852
50010006,8.437633
50010007,8.95912
50010008,7.225706
50010009,7.365801
50010010,7.643517
50010011,7.501226
50010012,7.492383
50010013,6.826251
50010014,8.553177
50010015,7.555415
50010016,8.086403
50010017,8.421871
50010018,9.064299
50010019,8.965337
50010020,7.954285
50020001,7.012743
50020002,5.388767
50020003,5.579556
50020004,6.142403
50020005,6.313746
50020006,5.638619
50020007,6.511641
50020008,6.878992
50020009,2.782746
50020010,6.434941
50020011,5.334178
50020012,5.231682
50020013,8.109602
50020014,4.98555
50020015,6.068145
50020016,5.170029
50020017,5.804658
50020018,4.221448
50020019,5.502873
50020020,6.717015
50030001,5.336258
50030002,6.032201
50030003,5.930901
50030004,5.375282
50030005,5.319115
50030006,5.869695
50030007,6.539672
50030008,5.595672
50030009,5.47709
50030010,5.294678
50030011,5.011792
50030012,4.667413
50030013,5.098475
50030014,6.077445
50030015,4.755822
50030016,4.288352
50030017,5.358237
50030018,6.140403
50030019,6.133521
50030020,4.310012
50040001,4.417765
50040002,4.330043
50040003,5.392999
50040004,5.738836
50040005,5.283451
50040006,4.820536
50040007,7.160254
50040008,2.456482
50040009,6.99515
50040010,4.215493
50040011,5.446954
50040012,6.681437
50040013,2.31414
50040014,6.046173
50040015,4.448896
50040016,5.86503
50040017,4.622165
50040018,5.359225
50040019,6.694537
50040020,4.535246
50050001,3.985036
50050002,5.318655
50050003,5.383278
50050004,3.926793
50050005,4.652245
50050006,4.968337
50050007,5.850298
50050008,4.583421
50050009,4.313327
50050010,4.647167
50050011,4.377503
50050012,3.823204
50050013,3.987793
50050014,5.044818
50050015,3.834064
50050016,3.666462
50050017,4.192407
50050018,5.678492
50050019,4.660878
50050020,3.237896
50060001,5.084924
50060002,3.573774
50060003,3.630268
50060004,4.774792
50060005,4.280443
50060006,3.677609
50060007,4.80749
50060008,5.86696
50060009,0.898643
50060010,4.610711
50060011,3.695947
50060012,3.944776
50060013,6.201962
50060014,2.940802
50060015,4.367916
50060016,3.220689
50060017,3.846719
50060018,1.781329
50060019,3.685331
50060020,5.193768
50070001,4.583149
50070002,5.87432
50070003,5.848807
50070004,4.737319
50070005,5.341551
50070006,5.724362
50070007,6.513156
50070008,5.072253
50070009,5.480107
50070010,5.323413
50070011,4.755578
50070012,4.245753
50070013,4.103374
50070014,5.323277
50070015,4.251116
50070016,4.359683
50070017,4.672061
50070018,5.836338
50070019,5.601153
50070020,4.097257
50080001,5.642834
50080002,5.1171
50080003,6.011308
50080004,6.258494
50080005,5.709113
50080006,5.522216
50080007,7.611875
50080008,3.587478
50080009,7.734793
50080010,5.01931
50080011,6.324997
50080012,7.198596
50080013,3.217159
50080014,6.828756
50080015,5.118099
50080016,6.746948
50080017,5.171399
50080018,6.352874
50080019,7.514143
50080020,5.923282
50090001,7.302058
50090002,7.83861
50090003,7.230644
50090004,7.52286
50090005,7.21727
50090006,7.74026
50090007,7.830447
50090008,7.230896
50090009,7.040071
50090010,7.170079
50090011,6.890177
50090012,6.181298
50090013,7.039291
50090014,7.9666
50090015,6.957205
50090016,6.23558
50090017,6.960917
50090018,8.051445
50090019,8.299697
50090020,6.080095
50100001,9.405363
50100002,7.771778
50100003,8.340948
50100004,8.172479
50100005,8.854609
50100006,7.864059
50100007,8.613443
50100008,9.35448
50100009,5.341993
50100010,8.691611
50100011,7.828797
50100012,7.321003
50100013,10.167039
50100014,7.371191
50100015,8.616923
50100016,7.824873
50100017,7.884329
50100018,6.714061
50100019,7.554434
50100020,9.100591
