shotnum,Delta
50030011,5.011792
50030012,4.667413
50030013,5.098475
50030014,6.077445
50030015,4.755822
50030016,4.288352
50030017,5.358237
50030018,6.140403
50030019,6.133521
50030020,4.310012
50040001,4.417765
50040002,4.330043
50040003,5.392999
50040004,5.738836
50040005,5.283451
50040006,4.820536
50040007,7.160254
50040008,2.456482
50040009,6.99515
50040010,4.215493
50040011,5.446954
50040012,6.681437
50040013,2.31414
50040014,6.046173
50040015,4.448896
50040016,5.86503
50040017,4.622165
50040018,5.359225
50040019,6.694537
50040020,4.535246
50050001,3.985036
50050002,5.318655
50050003,5.383278
50050004,3.926793
50050005,4.652245
50050006,4.968337
50050007,5.850298
50050008,4.583421
50050009,4.313327
50050010,4.647167
50050011,4.377503
50050012,3.823204
50050013,3.987793
50050014,5.044818
50050015,3.834064
50050016,3.666462
50050017,4.192407
50050018,5.678492
50050019,4.660878
50050020,3.237896
