shotnum,Delta
50060001,6.324997
50060002,7.198596
50060003,3.217159
50060004,6.828756
50060005,5.118099
50060006,6.746948
50060007,5.171399
50060008,6.352874
50060009,7.514143
50060010,5.923282
50060011,7.302058
50060012,7.83861
50060013,7.230644
50060014,7.52286
50060015,7.21727
50060016,7.74026
50060017,7.830447
50060018,7.230896
50060019,7.040071
50060020,7.170079
50070001,6.890177
50070002,6.181298
50070003,7.039291
50070004,7.9666
50070005,6.957205
50070006,6.23558
50070007,6.960917
50070008,8.051445
50070009,8.299697
50070010,6.080095
50070011,9.405363
50070012,7.771778
50070013,8.340948
50070014,8.172479
50070015,8.854609
50070016,7.864059
50070017,8.613443
50070018,9.35448
50070019,5.341993
50070020,8.691611
50080001,7.828797
50080002,7.321003
50080003,10.167039
50080004,7.371191
50080005,8.616923
50080006,7.824873
50080007,7.884329
50080008,6.714061
50080009,7.554434
50080010,9.100591
