Recenum,G
10010001,-0.005451581
10010002,0.008752247
10010003,0.029687732
10010004,0.03706679
10010005,0.038549393
10010006,0.040247066
10010007,0.034049793
10010008,0.025630537
10010009,0.019810919
10010010,0.011935355
10010011,-9.27E-05
10010012,-0.008439189
10010013,-0.017290672
10010014,-0.030812682
10010015,-0.044444312
10010016,-0.056181824
10010017,-0.077860257
10010018,-0.10043435
10010019,-0.124563602
10010020,-0.161853623
10010021,-0.20408651
10010022,-0.25572913
10010023,-0.319074779
10010024,-0.393335186
10010025,-0.483003955
10010026,-0.580153358
10010027,-0.693980764
10010028,-0.822284402
10010029,-0.948845639
10010030,-1.084055612
10010031,-1.222827732
10010032,-1.344449911
10010033,-1.447070837
10010034,-1.523549302
10010035,-1.55005502
10010036,-1.524139958
10010037,-1.421039002
10010038,-1.238955413
10010039,-0.965438539
10010040,-0.598239219
10010041,-0.155395191
10010042,0.36010927
10010043,0.916503554
10010044,1.473598764
10010045,2.012207427
10010046,2.492172237
10010047,2.893165626
10010048,3.197142259
10010049,3.394589293
10010050,3.481336436
10010051,3.457319374
10010052,3.320650893
10010053,3.083003236
10010054,2.74630748
10010055,2.324731975
10010056,1.837253369
10010057,1.300756234
10010058,0.746226222
10010059,0.209920713
10010060,-0.289335002
10010061,-0.720279375
10010062,-1.063591216
10010063,-1.318697686
10010064,-1.482466762
10010065,-1.567122081
10010066,-1.577385157
10010067,-1.532120083
10010068,-1.447065906
10010069,-1.331227003
10010070,-1.197496666
10010071,-1.057428547
10010072,-0.916751658
10010073,-0.780905527
10010074,-0.660547491
10010075,-0.544337019
10010076,-0.442969887
10010077,-0.362481429
10010078,-0.286789577
10010079,-0.228799538
10010080,-0.180114518
10010081,-0.139995676
10010082,-0.110267403
10010083,-0.082169234
10010084,-0.063164232
10010085,-0.049726656
10010086,-0.033417882
10010087,-0.0256145
10010088,-0.013567589
10010089,-0.002442118
10010090,0.003299471
10010091,0.011186378
10010092,0.02071112
10010093,0.025294092
10010094,0.030240772
10010095,0.034716029
10010096,0.034387881
10010097,0.027411627
10010098,0.017764988
10010099,-0.00138235
10010100,-0.005451559
10020001,-0.005451541
10020002,0.000178262
10020003,0.014519591
10020004,0.02403946
10020005,0.025823331
10020006,0.024779586
10020007,0.023641756
10020008,0.015642496
10020009,0.013864496
10020010,0.007287133
10020011,-0.001865131
10020012,-0.004088901
10020013,-0.012547997
10020014,-0.019723236
10020015,-0.028713625
10020016,-0.03921
10020017,-0.050123673
10020018,-0.064875377
10020019,-0.089361755
10020020,-0.113225554
10020021,-0.142411853
10020022,-0.189069529
10020023,-0.238743078
10020024,-0.297481747
10020025,-0.38025185
10020026,-0.468604755
10020027,-0.568885252
10020028,-0.688385385
10020029,-0.822716856
10020030,-0.957704136
10020031,-1.099824887
10020032,-1.24523886
10020033,-1.371380298
10020034,-1.475151233
10020035,-1.545826382
10020036,-1.556716469
10020037,-1.49568062
10020038,-1.352670668
10020039,-1.109096481
10020040,-0.756463888
10020041,-0.317109304
10020042,0.211556567
10020043,0.788710382
10020044,1.371053023
10020045,1.935962483
10020046,2.425199913
10020047,2.826101265
10020048,3.132597611
10020049,3.314224205
10020050,3.387187871
10020051,3.358933322
10020052,3.212131791
10020053,2.970061465
10020054,2.632108029
10020055,2.197977438
10020056,1.697963898
10020057,1.145955715
10020058,0.568371593
10020059,0.017551729
10020060,-0.486637682
10020061,-0.910008933
10020062,-1.224318484
10020063,-1.448863928
10020064,-1.570254399
10020065,-1.598293971
10020066,-1.567322584
10020067,-1.484223022
10020068,-1.357560974
10020069,-1.213077197
10020070,-1.066766241
10020071,-0.912033408
10020072,-0.767513706
10020073,-0.640209546
10020074,-0.521181577
10020075,-0.416432054
